,timestamp,experiment_ID,block_ID,stimulus_ID,subject,key_press,rt,fake_human_rt,trial_stim,fake_or_not,UNIX_time,wrong_type
0,2023-04-13_10h07.47.203,0413_01,1,1,1,p,0.2921,none,BR,False,1681351667.2032,none
1,2023-04-13_10h07.49.570,0413_01,1,2,1,p,0.269,none,BL,False,1681351669.5703,none
2,2023-04-13_10h07.52.170,0413_01,1,3,2,w,0.4941,none,YR,False,1681351672.1703,none
3,2023-04-13_10h07.54.553,0413_01,1,4,1,p,0.2779,none,BL,False,1681351674.5535,none
4,2023-04-13_10h07.56.936,0413_01,1,5,1,p,0.2865,none,BR,False,1681351676.9369,none
5,2023-04-13_10h07.59.487,0413_01,1,6,2,w,0.4555,none,YL,False,1681351679.487,none
6,2023-04-13_10h08.02.087,0413_01,1,7,2,w,0.4972,none,YL,False,1681351682.0875,none
7,2023-04-13_10h08.04.753,0413_01,1,8,2,w,0.5775,none,YL,False,1681351684.7534,none
8,2023-04-13_10h08.07.336,0413_01,1,9,2,w,0.4788,none,YL,False,1681351687.3366,none
9,2023-04-13_10h08.09.953,0413_01,1,10,2,w,0.5198,none,YR,False,1681351689.9539,none
10,2023-04-13_10h08.12.453,0413_01,1,11,1,p,0.3986,none,BL,False,1681351692.4531,none
11,2023-04-13_10h08.14.869,0413_01,1,12,1,p,0.3149,none,BR,False,1681351694.8693,none
12,2023-04-13_10h08.17.569,0413_01,1,13,2,w,0.61,none,YR,False,1681351697.5699,none
13,2023-04-13_10h08.19.970,0413_01,1,14,1,p,0.3018,none,BL,False,1681351699.9709,none
14,2023-04-13_10h08.22.436,0413_01,1,15,1,p,0.374,none,BR,False,1681351702.4368,none
15,2023-04-13_10h08.24.970,0413_01,1,16,2,w,0.4274,none,YR,False,1681351704.9704,none
16,2023-04-13_10h08.59.386,0413_01,2,1,1,p,0.359,none,BL,False,1681351739.3868,none
17,2023-04-13_10h09.01.754,0413_01,2,2,1,p,0.2772,none,BL,False,1681351741.7543,none
18,2023-04-13_10h09.04.520,0413_01,2,3,2,w,0.6708,none,YL,False,1681351744.5201,none
19,2023-04-13_10h09.07.104,0413_01,2,4,2,w,0.4797,none,YR,False,1681351747.104,none
20,2023-04-13_10h09.09.555,0413_01,2,5,1,p,0.3448,none,BL,False,1681351749.555,none
21,2023-04-13_10h09.11.936,0413_01,2,6,1,p,0.2782,none,BR,False,1681351751.9364,none
22,2023-04-13_10h09.14.536,0413_01,2,7,2,w,0.503,none,YL,False,1681351754.5368,none
23,2023-04-13_10h09.17.186,0413_01,2,8,2,w,0.5594,none,YL,False,1681351757.1863,none
24,2023-04-13_10h09.19.554,0413_01,2,9,1,p,0.2772,none,BR,False,1681351759.5542,none
25,2023-04-13_10h09.22.070,0413_01,2,10,2,w,0.4144,none,YR,False,1681351762.0706,none
26,2023-04-13_10h09.24.488,0413_01,2,11,1,p,0.3141,none,BR,False,1681351764.4887,none
27,2023-04-13_10h09.27.070,0413_01,2,12,1,p,0.4889,none,BL,False,1681351767.071,none
28,2023-04-13_10h09.29.437,0413_01,2,13,1,p,0.2731,none,BR,False,1681351769.4375,none
29,2023-04-13_10h09.32.004,0413_01,2,14,2,w,0.4754,none,YR,False,1681351772.0048,none
30,2023-04-13_10h09.34.603,0413_01,2,15,2,w,0.4839,none,YL,False,1681351774.6037,none
31,2023-04-13_10h09.37.237,0413_01,2,16,2,w,0.5404,none,YR,False,1681351777.2371,none
32,2023-04-13_10h10.16.054,0413_01,3,1,2,w,0.3689,0.8554,YR,True,1681351816.0543,none
33,2023-04-13_10h10.19.020,0413_01,3,2,2,w,0.4103,0.8554,YR,True,1681351819.0203,none
34,2023-04-13_10h10.21.986,0413_01,3,3,2,w,0.4595,0.8554,YL,True,1681351821.9865,none
35,2023-04-13_10h10.24.387,0413_01,3,4,1,p,0.3087,none,BL,False,1681351824.3871,none
36,2023-04-13_10h10.26.770,0413_01,3,5,1,p,0.2933,none,BL,False,1681351826.7709,none
37,2023-04-13_10h10.29.154,0413_01,3,6,1,p,0.2933,none,BR,False,1681351829.1543,none
38,2023-04-13_10h10.31.587,0413_01,3,7,1,p,0.3343,none,BR,False,1681351831.5876,none
39,2023-04-13_10h10.34.553,0413_01,3,8,2,w,0.5888,0.8554,YR,True,1681351834.5538,none
40,2023-04-13_10h10.37.520,0413_01,3,9,2,w,0.486,0.8554,YR,True,1681351837.5203,none
41,2023-04-13_10h10.40.487,0413_01,3,10,2,w,0.5188,0.8554,YL,True,1681351840.4878,none
42,2023-04-13_10h10.42.937,0413_01,3,11,1,p,0.3531,none,BR,False,1681351842.9374,none
43,2023-04-13_10h10.45.904,0413_01,3,12,2,w,0.399,0.8554,YL,True,1681351845.9047,none
44,2023-04-13_10h10.48.871,0413_01,3,13,2,w,0.5043,0.8554,YL,True,1681351848.871,none
45,2023-04-13_10h10.51.287,0413_01,3,14,1,p,0.322,none,BL,False,1681351851.2876,none
46,2023-04-13_10h10.53.704,0413_01,3,15,1,p,0.3129,none,BR,False,1681351853.7044,none
47,2023-04-13_10h10.56.054,0413_01,3,16,1,p,0.2566,none,BL,False,1681351856.0545,none
48,2023-04-13_10h11.34.270,0413_01,4,1,2,w,0.3912,0.8255,YR,True,1681351894.2707,none
49,2023-04-13_10h11.36.904,0413_01,4,2,1,p,0.5373,none,BL,False,1681351896.9041,none
50,2023-04-13_10h11.39.570,0413_01,4,3,1,p,0.568,none,BR,False,1681351899.5701,none
51,2023-04-13_10h11.42.503,0413_01,4,4,2,w,0.542,0.8314,YR,True,1681351902.5035,none
52,2023-04-13_10h11.44.970,0413_01,4,5,1,p,0.3675,none,BR,False,1681351904.9704,none
53,2023-04-13_10h11.47.371,0413_01,4,6,1,p,0.3094,none,BR,False,1681351907.3714,none
54,2023-04-13_10h11.49.771,0413_01,4,7,1,p,0.3013,none,BL,False,1681351909.7717,none
55,2023-04-13_10h11.52.187,0413_01,4,8,1,p,0.3011,none,BR,False,1681351912.1872,none
56,2023-04-13_10h11.55.120,0413_01,4,9,2,w,0.5566,0.8271,YR,True,1681351915.1209,none
57,2023-04-13_10h11.58.070,0413_01,4,10,2,w,0.4953,0.833,YL,True,1681351918.0703,none
58,2023-04-13_10h12.01.020,0413_01,4,11,2,w,0.3688,0.8312,YL,True,1681351921.021,none
59,2023-04-13_10h12.03.470,0413_01,4,12,1,p,0.3554,none,BL,False,1681351923.4704,none
60,2023-04-13_10h12.06.420,0413_01,4,13,2,w,0.5776,0.8319,YL,True,1681351926.4209,none
61,2023-04-13_10h12.08.820,0413_01,4,14,1,p,0.2992,none,BL,False,1681351928.82,none
62,2023-04-13_10h12.11.753,0413_01,4,15,2,w,0.4271,0.8256,YL,True,1681351931.7539,none
63,2023-04-13_10h12.14.687,0413_01,4,16,2,w,0.3574,0.821,YR,True,1681351934.687,none
64,2023-04-13_10h12.51.737,0413_01,5,1,2,w,0.3313,0.8026,YR,True,1681351971.7372,none
65,2023-04-13_10h12.54.203,0413_01,5,2,1,p,0.3667,none,BL,False,1681351974.2037,none
66,2023-04-13_10h12.56.587,0413_01,5,3,1,p,0.2836,none,BL,False,1681351976.5879,none
67,2023-04-13_10h12.59.054,0413_01,5,4,1,p,0.3724,none,BL,False,1681351979.0546,none
68,2023-04-13_10h13.01.970,0413_01,5,5,2,w,0.5219,0.7994,YR,True,1681351981.971,none
69,2023-04-13_10h13.04.471,0413_01,5,6,1,p,0.397,none,BR,False,1681351984.4711,none
70,2023-04-13_10h13.07.404,0413_01,5,7,2,w,0.4819,0.8096,YR,True,1681351987.4044,none
71,2023-04-13_10h13.10.320,0413_01,5,8,2,w,0.4282,0.7916,YL,True,1681351990.3209,none
72,2023-04-13_10h13.13.220,0413_01,5,9,2,w,0.3585,0.7897,YR,True,1681351993.2206,none
73,2023-04-13_10h13.15.787,0413_01,5,10,1,p,0.467,none,BL,False,1681351995.7875,none
74,2023-04-13_10h13.18.687,0413_01,5,11,2,w,0.4045,0.797,YL,True,1681351998.6875,none
75,2023-04-13_10h13.21.588,0413_01,5,12,2,w,0.3761,0.7976,YL,True,1681352001.5883,none
76,2023-04-13_10h13.24.054,0413_01,5,13,1,p,0.3722,none,BR,False,1681352004.0547,none
77,2023-04-13_10h13.26.970,0413_01,5,14,2,w,0.4259,0.8028,YL,True,1681352006.9708,none
78,2023-04-13_10h13.29.355,0413_01,5,15,1,p,0.2852,none,BR,False,1681352009.3551,none
79,2023-04-13_10h13.31.837,0413_01,5,16,1,p,0.3818,none,BR,False,1681352011.8378,none
80,2023-04-13_10h14.22.604,0413_01,6,1,1,p,0.2743,none,BR,False,1681352062.6043,none
81,2023-04-13_10h14.25.004,0413_01,6,2,1,p,0.2998,none,BL,False,1681352065.0045,none
82,2023-04-13_10h14.27.887,0413_01,6,3,2,w,0.5793,0.7603,YR,True,1681352067.8873,none
83,2023-04-13_10h14.30.288,0413_01,6,4,1,p,0.2962,none,BL,False,1681352070.2885,none
84,2023-04-13_10h14.32.755,0413_01,6,5,1,p,0.3761,none,BR,False,1681352072.7554,none
85,2023-04-13_10h14.35.637,0413_01,6,6,2,w,0.4297,0.7583,YR,True,1681352075.638,none
86,2023-04-13_10h14.38.054,0413_01,6,7,1,p,0.3222,none,BR,False,1681352078.0549,none
