,timestamp,experiment_ID,block_ID,stimulus_ID,subject,key_press,rt,fake_human_rt,trial_stim,fake_or_not,UNIX_time,wrong_type
0,2023-04-26_13h38.28.414,0426_3_2,1,1,2,w,0.8863,none,YR,False,1682487508.4146,none
1,2023-04-26_13h38.31.246,0426_3_2,1,2,2,w,0.7423,none,YR,False,1682487511.2467,none
2,2023-04-26_13h38.35.346,0426_3_2,1,3,1,none,none,none,BL,False,1682487515.3466,Not_press
3,2023-04-26_13h38.37.765,0426_3_2,1,4,1,p,0.3128,none,BR,False,1682487517.7652,none
4,2023-04-26_13h38.40.397,0426_3_2,1,5,2,w,0.5196,none,YL,False,1682487520.3977,none
5,2023-04-26_13h38.43.097,0426_3_2,1,6,2,w,0.6066,none,YR,False,1682487523.0974,none
6,2023-04-26_13h38.45.447,0426_3_2,1,7,1,p,0.2587,none,BL,False,1682487525.4473,none
7,2023-04-26_13h38.48.379,0426_3_2,1,8,2,w,0.837,none,YR,False,1682487528.3797,none
8,2023-04-26_13h38.50.930,0426_3_2,1,9,2,w,0.455,none,YL,False,1682487530.9306,none
9,2023-04-26_13h38.53.530,0426_3_2,1,10,1,p,0.4974,none,BL,False,1682487533.5306,none
10,2023-04-26_13h38.56.030,0426_3_2,1,11,2,w,0.4005,none,YL,False,1682487536.0308,none
11,2023-04-26_13h38.58.514,0426_3_2,1,12,1,p,0.3816,none,BL,False,1682487538.5144,none
12,2023-04-26_13h39.00.964,0426_3_2,1,13,1,p,0.3376,none,BR,False,1682487540.9643,none
13,2023-04-26_13h39.03.396,0426_3_2,1,14,1,p,0.3284,none,BR,False,1682487543.3968,none
14,2023-04-26_13h39.05.847,0426_3_2,1,15,1,p,0.3506,none,BR,False,1682487545.8471,none
15,2023-04-26_13h39.08.364,0426_3_2,1,16,2,w,0.4205,none,YL,False,1682487548.3646,none
16,2023-04-26_13h39.43.397,0426_3_2,2,1,2,w,0.6529,none,YL,False,1682487583.3975,none
17,2023-04-26_13h39.45.947,0426_3_2,2,2,2,w,0.4467,none,YL,False,1682487585.9476,none
18,2023-04-26_13h39.48.530,0426_3_2,2,3,1,p,0.4806,none,BL,False,1682487588.5308,none
19,2023-04-26_13h39.50.980,0426_3_2,2,4,1,p,0.3531,none,BL,False,1682487590.9804,none
20,2023-04-26_13h39.53.464,0426_3_2,2,5,2,w,0.3914,none,YL,False,1682487593.4646,none
21,2023-04-26_13h39.55.931,0426_3_2,2,6,1,p,0.364,none,BR,False,1682487595.9319,none
22,2023-04-26_13h39.58.580,0426_3_2,2,7,2,w,0.5533,none,YR,False,1682487598.581,none
23,2023-04-26_13h40.00.897,0426_3_2,2,8,1,p,0.2231,none,BL,False,1682487600.8977,none
24,2023-04-26_13h40.03.547,0426_3_2,2,9,2,w,0.5461,none,YR,False,1682487603.547,none
25,2023-04-26_13h40.06.147,0426_3_2,2,10,2,w,0.4964,none,YL,False,1682487606.1474,none
26,2023-04-26_13h40.08.563,0426_3_2,2,11,1,p,0.3205,none,BL,False,1682487608.564,none
27,2023-04-26_13h40.10.664,0426_3_2,2,12,2,p,0.0017,none,YR,False,1682487610.665,Wrong_press
28,2023-04-26_13h40.13.263,0426_3_2,2,13,2,w,0.4994,none,YR,False,1682487613.2649,none
29,2023-04-26_13h40.15.680,0426_3_2,2,14,1,p,0.3241,none,BR,False,1682487615.6808,none
30,2023-04-26_13h40.18.248,0426_3_2,2,15,1,p,0.4678,none,BR,False,1682487618.2482,none
31,2023-04-26_13h40.20.714,0426_3_2,2,16,1,p,0.373,none,BR,False,1682487620.7148,none
32,2023-04-26_13h40.54.813,0426_3_2,3,1,1,p,0.5176,none,BL,False,1682487654.8135,none
33,2023-04-26_13h40.57.348,0426_3_2,3,2,1,p,0.4295,none,BL,False,1682487657.3487,none
34,2023-04-26_13h41.00.214,0426_3_2,3,3,2,w,0.4879,0.752,YL,True,1682487660.2141,none
35,2023-04-26_13h41.03.080,0426_3_2,3,4,2,w,0.3977,0.752,YR,True,1682487663.0802,none
36,2023-04-26_13h41.05.948,0426_3_2,3,5,2,w,0.3395,0.752,YR,True,1682487665.9483,none
37,2023-04-26_13h41.08.414,0426_3_2,3,6,1,p,0.3515,none,BR,False,1682487668.4146,none
38,2023-04-26_13h41.11.297,0426_3_2,3,7,2,w,0.3651,0.752,YR,True,1682487671.2977,none
39,2023-04-26_13h41.13.747,0426_3_2,3,8,1,p,0.3464,none,BR,False,1682487673.7472,none
40,2023-04-26_13h41.16.614,0426_3_2,3,9,2,w,0.5043,0.752,YL,True,1682487676.6143,none
41,2023-04-26_13h41.19.497,0426_3_2,3,10,2,w,0.4371,0.752,YL,True,1682487679.498,none
42,2023-04-26_13h41.21.897,0426_3_2,3,11,1,p,0.2984,none,BR,False,1682487681.8972,none
43,2023-04-26_13h41.24.363,0426_3_2,3,12,1,p,0.3706,none,BL,False,1682487684.3635,none
44,2023-04-26_13h41.27.231,0426_3_2,3,13,2,w,0.4399,0.752,YL,True,1682487687.2316,none
45,2023-04-26_13h41.29.748,0426_3_2,3,14,1,p,0.4129,none,BR,False,1682487689.7484,none
46,2023-04-26_13h41.32.346,0426_3_2,3,15,1,p,0.4962,none,BL,False,1682487692.3468,none
47,2023-04-26_13h41.35.214,0426_3_2,3,16,2,w,0.5357,0.752,YR,True,1682487695.2141,none
48,2023-04-26_13h42.12.046,0426_3_2,4,1,1,p,0.4744,none,BR,False,1682487732.0468,none
49,2023-04-26_13h42.14.447,0426_3_2,4,2,1,p,0.3004,none,BR,False,1682487734.4473,none
50,2023-04-26_13h42.16.848,0426_3_2,4,3,1,p,0.2997,none,BR,False,1682487736.8482,none
51,2023-04-26_13h42.19.230,0426_3_2,4,4,1,p,0.2919,none,BL,False,1682487739.2309,none
52,2023-04-26_13h42.21.564,0426_3_2,4,5,1,p,0.2372,none,BL,False,1682487741.5643,none
53,2023-04-26_13h42.24.398,0426_3_2,4,6,2,w,0.4554,0.7225,YL,True,1682487744.3981,none
54,2023-04-26_13h42.27.247,0426_3_2,4,7,2,w,0.4303,0.7262,YR,True,1682487747.2475,none
55,2023-04-26_13h42.29.631,0426_3_2,4,8,1,p,0.2923,none,BL,False,1682487749.6312,none
56,2023-04-26_13h42.32.248,0426_3_2,4,9,1,p,0.5249,none,BL,False,1682487752.2483,none
57,2023-04-26_13h42.34.664,0426_3_2,4,10,1,p,0.3165,none,BR,False,1682487754.6647,none
58,2023-04-26_13h42.37.498,0426_3_2,4,11,2,w,0.4198,0.7244,YL,True,1682487757.498,none
59,2023-04-26_13h42.40.331,0426_3_2,4,12,2,w,0.4497,0.722,YR,True,1682487760.3312,none
60,2023-04-26_13h42.43.164,0426_3_2,4,13,2,w,0.3687,0.7222,YL,True,1682487763.1647,none
61,2023-04-26_13h42.45.998,0426_3_2,4,14,2,w,0.408,0.7245,YR,True,1682487765.9982,none
62,2023-04-26_13h42.48.832,0426_3_2,4,15,2,w,0.398,0.7239,YL,True,1682487768.8321,none
63,2023-04-26_13h42.51.681,0426_3_2,4,16,2,w,0.3165,0.7242,YR,True,1682487771.6815,none
64,2023-04-26_13h43.27.664,0426_3_2,5,1,1,p,0.474,none,BL,False,1682487807.6648,none
65,2023-04-26_13h43.30.481,0426_3_2,5,2,2,w,0.4112,0.6903,YL,True,1682487810.4815,none
66,2023-04-26_13h43.32.915,0426_3_2,5,3,1,p,0.3386,none,BR,False,1682487812.9157,none
67,2023-04-26_13h43.35.715,0426_3_2,5,4,2,w,0.3537,0.6899,YR,True,1682487815.7151,none
68,2023-04-26_13h43.38.198,0426_3_2,5,5,1,p,0.3849,none,BR,False,1682487818.1982,none
69,2023-04-26_13h43.40.697,0426_3_2,5,6,1,p,0.4063,none,BR,False,1682487820.6971,none
70,2023-04-26_13h43.43.497,0426_3_2,5,7,2,w,0.474,0.7008,YL,True,1682487823.4979,none
71,2023-04-26_13h43.46.315,0426_3_2,5,8,1,p,0.722,none,BL,False,1682487826.3154,none
72,2023-04-26_13h43.49.131,0426_3_2,5,9,2,w,0.4333,0.6996,YR,True,1682487829.1314,none
73,2023-04-26_13h43.51.564,0426_3_2,5,10,1,p,0.3365,none,BL,False,1682487831.5642,none
74,2023-04-26_13h43.54.015,0426_3_2,5,11,1,p,0.3509,none,BR,False,1682487834.0155,none
75,2023-04-26_13h43.56.814,0426_3_2,5,12,2,w,0.366,0.6899,YL,True,1682487836.8144,none
76,2023-04-26_13h43.59.614,0426_3_2,5,13,2,w,0.4373,0.6917,YR,True,1682487839.6146,none
77,2023-04-26_13h44.02.414,0426_3_2,5,14,2,w,0.3409,0.696,YR,True,1682487842.4149,none
78,2023-04-26_13h44.04.781,0426_3_2,5,15,1,p,0.2692,none,BL,False,1682487844.7818,none
79,2023-04-26_13h44.07.580,0426_3_2,5,16,2,w,0.3986,0.6896,YL,True,1682487847.5808,none
80,2023-04-26_13h44.51.180,0426_3_2,6,1,2,w,0.8368,none,YL,False,1682487891.1809,none
81,2023-04-26_13h44.53.648,0426_3_2,6,2,1,p,0.3663,none,BL,False,1682487893.6484,none
82,2023-04-26_13h44.56.232,0426_3_2,6,3,2,w,0.4839,none,YL,False,1682487896.2329,none
83,2023-04-26_13h44.58.581,0426_3_2,6,4,1,p,0.2444,none,BR,False,1682487898.5816,none
84,2023-04-26_13h45.01.081,0426_3_2,6,5,1,p,0.3982,none,BL,False,1682487901.0816,none
85,2023-04-26_13h45.03.481,0426_3_2,6,6,2,w,0.3068,none,YL,False,1682487903.4818,none
86,2023-04-26_13h45.05.931,0426_3_2,6,7,2,w,0.3466,none,YR,False,1682487905.9314,none
87,2023-04-26_13h45.08.365,0426_3_2,6,8,2,w,0.3285,none,YR,False,1682487908.3652,none
88,2023-04-26_13h45.10.830,0426_3_2,6,9,1,p,0.3755,none,BR,False,1682487910.8305,none
89,2023-04-26_13h45.13.414,0426_3_2,6,10,1,p,0.4926,none,BL,False,1682487913.4145,none
90,2023-04-26_13h45.15.797,0426_3_2,6,11,1,p,0.2931,none,BL,False,1682487915.7978,none
91,2023-04-26_13h45.18.164,0426_3_2,6,12,1,p,0.2774,none,BR,False,1682487918.165,none
92,2023-04-26_13h45.20.548,0426_3_2,6,13,1,p,0.2787,none,BR,False,1682487920.5488,none
93,2023-04-26_13h45.23.097,0426_3_2,6,14,2,w,0.4478,none,YR,False,1682487923.0978,none
94,2023-04-26_13h45.25.565,0426_3_2,6,15,2,w,0.3608,none,YL,False,1682487925.5663,none
95,2023-04-26_13h45.27.999,0426_3_2,6,16,2,w,0.335,none,YR,False,1682487927.9992,none
96,2023-04-26_13h46.03.981,0426_3_2,7,1,2,w,0.3976,0.6589,YR,True,1682487963.981,none
97,2023-04-26_13h46.06.530,0426_3_2,7,2,1,p,0.454,none,BR,False,1682487966.531,none
98,2023-04-26_13h46.09.314,0426_3_2,7,3,2,w,0.6003,0.6613,YR,True,1682487969.3154,none
99,2023-04-26_13h46.12.097,0426_3_2,7,4,2,w,0.5129,0.6641,YL,True,1682487972.0976,none
100,2023-04-26_13h46.14.881,0426_3_2,7,5,2,w,0.338,0.6703,YL,True,1682487974.8818,none
101,2023-04-26_13h46.17.314,0426_3_2,7,6,1,p,0.3381,none,BL,False,1682487977.3146,none
102,2023-04-26_13h46.20.116,0426_3_2,7,7,2,w,0.5449,0.674,YR,True,1682487980.1162,none
103,2023-04-26_13h46.22.898,0426_3_2,7,8,2,w,0.5132,0.6684,YR,True,1682487982.8985,none
104,2023-04-26_13h46.25.531,0426_3_2,7,9,1,p,0.5379,none,BR,False,1682487985.5313,none
105,2023-04-26_13h46.28.281,0426_3_2,7,10,1,p,0.6562,none,BL,False,1682487988.2818,none
106,2023-04-26_13h46.31.064,0426_3_2,7,11,2,w,0.4507,0.6699,YL,True,1682487991.0647,none
107,2023-04-26_13h46.33.716,0426_3_2,7,12,1,p,0.5552,none,BL,False,1682487993.716,none
108,2023-04-26_13h46.36.215,0426_3_2,7,13,1,p,0.4009,none,BR,False,1682487996.2151,none
109,2023-04-26_13h46.38.981,0426_3_2,7,14,2,w,0.5411,0.6632,YL,True,1682487998.9819,none
110,2023-04-26_13h46.41.532,0426_3_2,7,15,1,p,0.4466,none,BL,False,1682488001.5321,none
111,2023-04-26_13h46.43.949,0426_3_2,7,16,1,p,0.3202,none,BR,False,1682488003.9491,none
