,timestamp,experiment_ID,block_ID,stimulus_ID,subject,key_press,rt,fake_human_rt,trial_stim,fake_or_not,UNIX_time,wrong_type
0,2023-04-28_11h11.25.218,2,1,1,2,w,0.5353,none,YR,False,1682651485.2182,none
1,2023-04-28_11h11.27.967,2,1,2,2,w,0.6542,none,YL,False,1682651487.9678,none
2,2023-04-28_11h11.30.617,2,1,3,2,w,0.5447,none,YL,False,1682651490.6179,none
3,2023-04-28_11h11.33.601,2,1,4,1,p,0.8864,none,BL,False,1682651493.6011,none
4,2023-04-28_11h11.36.234,2,1,5,1,p,0.5352,none,BR,False,1682651496.235,none
5,2023-04-28_11h11.38.950,2,1,6,2,w,0.6215,none,YR,False,1682651498.9508,none
6,2023-04-28_11h11.41.451,2,1,7,1,p,0.4009,none,BR,False,1682651501.4512,none
7,2023-04-28_11h11.44.034,2,1,8,1,p,0.4772,none,BR,False,1682651504.0346,none
8,2023-04-28_11h11.47.034,2,1,9,2,w,0.9022,none,YL,False,1682651507.0342,none
9,2023-04-28_11h11.49.717,2,1,10,2,w,0.5816,none,YR,False,1682651509.7179,none
10,2023-04-28_11h11.52.284,2,1,11,1,p,0.4661,none,BL,False,1682651512.2842,none
11,2023-04-28_11h11.54.917,2,1,12,1,p,0.5398,none,BL,False,1682651514.9183,none
12,2023-04-28_11h11.57.683,2,1,13,2,w,0.6665,none,YR,False,1682651517.6832,none
13,2023-04-28_11h12.00.268,2,1,14,1,p,0.4837,none,BL,False,1682651520.2681,none
14,2023-04-28_11h12.03.201,2,1,15,2,w,0.8283,none,YL,False,1682651523.2015,none
15,2023-04-28_11h12.05.734,2,1,16,1,p,0.4386,none,BR,False,1682651525.7349,none
16,2023-04-28_11h12.41.483,2,2,1,1,p,0.3411,none,BL,False,1682651561.4839,none
17,2023-04-28_11h12.44.018,2,2,2,2,w,0.4435,none,YR,False,1682651564.0188,none
18,2023-04-28_11h12.46.467,2,2,3,1,p,0.3582,none,BR,False,1682651566.4675,none
19,2023-04-28_11h12.49.067,2,2,4,1,p,0.5085,none,BR,False,1682651569.0674,none
20,2023-04-28_11h12.51.567,2,2,5,2,w,0.3965,none,YL,False,1682651571.5672,none
21,2023-04-28_11h12.54.001,2,2,6,2,w,0.3359,none,YL,False,1682651574.0017,none
22,2023-04-28_11h12.56.567,2,2,7,2,w,0.4709,none,YR,False,1682651576.568,none
23,2023-04-28_11h12.59.200,2,2,8,1,p,0.5363,none,BR,False,1682651579.2008,none
24,2023-04-28_11h13.02.018,2,2,9,2,w,0.726,none,YR,False,1682651582.0181,none
25,2023-04-28_11h13.04.852,2,2,10,1,p,0.7333,none,BL,False,1682651584.852,none
26,2023-04-28_11h13.07.334,2,2,11,2,w,0.3805,none,YR,False,1682651587.3343,none
27,2023-04-28_11h13.09.818,2,2,12,1,p,0.3923,none,BL,False,1682651589.8184,none
28,2023-04-28_11h13.12.300,2,2,13,1,p,0.39,none,BL,False,1682651592.3007,none
29,2023-04-28_11h13.14.750,2,2,14,1,p,0.3465,none,BR,False,1682651594.7504,none
30,2023-04-28_11h13.17.284,2,2,15,2,w,0.4402,none,YL,False,1682651597.2844,none
31,2023-04-28_11h13.20.701,2,2,16,2,w,1.3236,none,YL,False,1682651600.7018,none
32,2023-04-28_11h13.51.917,2,3,1,1,p,0.306,none,BR,False,1682651631.9175,none
33,2023-04-28_11h13.54.817,2,3,2,2,w,0.5058,0.786,YL,True,1682651634.8178,none
34,2023-04-28_11h13.57.334,2,3,3,1,p,0.4144,none,BR,False,1682651637.3349,none
35,2023-04-28_11h13.59.884,2,3,4,1,p,0.4321,none,BR,False,1682651639.8845,none
36,2023-04-28_11h14.02.600,2,3,5,1,p,0.5938,none,BL,False,1682651642.6008,none
37,2023-04-28_11h14.05.502,2,3,6,2,w,0.4629,0.786,YR,True,1682651645.5021,none
38,2023-04-28_11h14.08.418,2,3,7,2,w,0.3219,0.786,YR,True,1682651648.4185,none
39,2023-04-28_11h14.10.934,2,3,8,1,p,0.3974,none,BR,False,1682651650.9346,none
40,2023-04-28_11h14.13.834,2,3,9,2,w,0.6176,0.786,YR,True,1682651653.8343,none
41,2023-04-28_11h14.16.301,2,3,10,1,p,0.3565,none,BL,False,1682651656.3014,none
42,2023-04-28_11h14.19.201,2,3,11,2,w,0.2991,0.786,YR,True,1682651659.2015,none
43,2023-04-28_11h14.22.117,2,3,12,2,w,0.4703,0.786,YL,True,1682651662.1175,none
44,2023-04-28_11h14.25.034,2,3,13,2,w,0.3453,0.786,YL,True,1682651665.0347,none
45,2023-04-28_11h14.27.950,2,3,14,2,w,0.3406,0.786,YL,True,1682651667.9509,none
46,2023-04-28_11h14.30.384,2,3,15,1,p,0.3202,none,BL,False,1682651670.3848,none
47,2023-04-28_11h14.32.935,2,3,16,1,p,0.4383,none,BL,False,1682651672.935,none
48,2023-04-28_11h15.08.634,2,4,1,1,p,0.3092,none,BR,False,1682651708.6342,none
49,2023-04-28_11h15.11.500,2,4,2,2,w,0.5407,0.757,YR,True,1682651711.5009,none
50,2023-04-28_11h15.14.368,2,4,3,2,w,0.4589,0.7631,YR,True,1682651714.3683,none
51,2023-04-28_11h15.17.235,2,4,4,2,w,0.3679,0.7572,YL,True,1682651717.2352,none
52,2023-04-28_11h15.19.884,2,4,5,1,p,0.5572,none,BL,False,1682651719.8848,none
53,2023-04-28_11h15.22.351,2,4,6,1,p,0.3625,none,BL,False,1682651722.3516,none
54,2023-04-28_11h15.25.234,2,4,7,2,w,0.4485,0.7621,YL,True,1682651725.2343,none
55,2023-04-28_11h15.28.101,2,4,8,2,w,0.3892,0.76,YR,True,1682651728.1014,none
56,2023-04-28_11h15.30.801,2,4,9,1,p,0.6022,none,BL,False,1682651730.8017,none
57,2023-04-28_11h15.33.668,2,4,10,2,w,0.4544,0.7571,YL,True,1682651733.6687,none
58,2023-04-28_11h15.36.534,2,4,11,2,w,0.5072,0.763,YL,True,1682651736.5346,none
59,2023-04-28_11h15.39.067,2,4,12,1,p,0.441,none,BR,False,1682651739.0674,none
60,2023-04-28_11h15.41.584,2,4,13,1,p,0.4197,none,BR,False,1682651741.5849,none
61,2023-04-28_11h15.44.451,2,4,14,2,w,0.5983,0.7575,YR,True,1682651744.4512,none
62,2023-04-28_11h15.47.035,2,4,15,1,p,0.4843,none,BL,False,1682651747.0352,none
63,2023-04-28_11h15.49.667,2,4,16,1,p,0.5326,none,BR,False,1682651749.668,none
64,2023-04-28_11h16.24.668,2,5,1,1,p,0.3328,none,BR,False,1682651784.6687,none
65,2023-04-28_11h16.27.069,2,5,2,1,p,0.3073,none,BL,False,1682651787.0693,none
66,2023-04-28_11h16.29.918,2,5,3,2,w,0.3941,0.7196,YR,True,1682651789.9185,none
67,2023-04-28_11h16.32.318,2,5,4,1,p,0.2976,none,BL,False,1682651792.3181,none
68,2023-04-28_11h16.35.151,2,5,5,2,w,0.3856,0.7221,YR,True,1682651795.152,none
69,2023-04-28_11h16.38.018,2,5,6,2,w,0.3359,0.7292,YR,True,1682651798.0182,none
70,2023-04-28_11h16.40.401,2,5,7,1,p,0.2776,none,BL,False,1682651800.401,none
71,2023-04-28_11h16.43.235,2,5,8,2,w,0.3585,0.7336,YL,True,1682651803.2352,none
72,2023-04-28_11h16.46.084,2,5,9,2,w,0.4282,0.7268,YL,True,1682651806.0847,none
73,2023-04-28_11h16.48.484,2,5,10,1,p,0.3064,none,BL,False,1682651808.4846,none
74,2023-04-28_11h16.51.486,2,5,11,2,w,0.8854,0.7293,YL,True,1682651811.4863,none
75,2023-04-28_11h16.54.335,2,5,12,2,w,0.3467,0.7262,YL,True,1682651814.3353,none
76,2023-04-28_11h16.56.685,2,5,13,1,p,0.249,none,BR,False,1682651816.685,none
77,2023-04-28_11h16.59.135,2,5,14,1,p,0.3468,none,BR,False,1682651819.1358,none
78,2023-04-28_11h17.01.985,2,5,15,2,w,0.3682,0.734,YR,True,1682651821.9853,none
79,2023-04-28_11h17.04.385,2,5,16,1,p,0.3107,none,BR,False,1682651824.3856,none
80,2023-04-28_11h17.41.834,2,6,1,1,p,0.3594,none,BL,False,1682651861.8347,none
81,2023-04-28_11h17.44.652,2,6,2,2,w,0.261,0.6999,YR,True,1682651864.6521,none
82,2023-04-28_11h17.47.468,2,6,3,2,w,0.4124,0.6905,YL,True,1682651867.4688,none
83,2023-04-28_11h17.50.302,2,6,4,2,w,0.3794,0.7167,YL,True,1682651870.3022,none
84,2023-04-28_11h17.53.134,2,6,5,2,w,0.3465,0.7123,YL,True,1682651873.1348,none
85,2023-04-28_11h17.55.585,2,6,6,1,p,0.3605,none,BL,False,1682651875.5856,none
86,2023-04-28_11h17.58.151,2,6,7,1,p,0.4699,none,BR,False,1682651878.152,none
87,2023-04-28_11h18.00.585,2,6,8,1,p,0.3439,none,BR,False,1682651880.5853,none
